library,nid,catalog_name,provider,provider_sha256,ghidra_status,function_entry,function_name,body_sha256,instruction_count,include_for_prefer_lle,recommendation,reason,current_gen5_registration_count,current_prefer_lle,current_export_names,current_sources
libSceAmpr,t4ExS+SwLjs,sceAmprCommandBufferWriteAddressFromCounter_04_00,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002bb0,t4ExS+SwLjs#C#A,0aefa7b6e95448e0b0953a9f8b74c9d8ed99f040ded4d25cc4aa37e08a339b89,15,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,bt3LHR9xjK4,sceAmprCommandBufferWriteAddressFromTimeCounter_04_00,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002b50,bt3LHR9xjK4#C#A,a8dd8632e5dfbf36b1c45f177810f1abf00dda0a6c7b1995d906dc5c1613d445,10,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,j0+3uJMxYJY,sceAmprCommandBufferWriteAddress_04_00,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002480,j0+3uJMxYJY#C#A,6f7be202667c3686f934a37f5f0e51ced8aed34fa0df91bb00c57c340fc3edbe,10,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,jK+yuYCI7MA,sceAmprCommandBufferWriteCounter_04_00,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00002630,jK+yuYCI7MA#C#A,42373fc4d0099b88ee97fd75ac206d5e8c8446a53cd464b5a84e536a20611391,71,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,kdFImtTD0hc,sceAmprMeasureCommandSizeMapBegin,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00004170,kdFImtTD0hc#C#A,2ae9cc74aa5bf1b6311815b95821cf074c6da7aca5d27b7587aefd3688b5786e,27,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,qvbdJc7bG+s,sceAmprMeasureCommandSizeMapDirectBegin,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,000041c0,qvbdJc7bG+s#C#A,6f5a8512dfc06fac665951f6073d88faad4052cc7b61b8223e72d39af8d7d30a,29,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,iwTNhyaemnw,sceAmprMeasureCommandSizeMapEnd,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00004220,iwTNhyaemnw#C#A,e36623525b7c35b277173e56616b2d865cf6515aa2be1d12d6814ef725cecffb,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,NNIZ-FMyz3M,sceAmprMeasureCommandSizeNop,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00004050,NNIZ-FMyz3M#C#A,98939d010806631545d6d286b65f64bd487c35a8f132ba520e17dc2b6248c68d,13,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,Xp85BP3+BBI,sceAmprMeasureCommandSizeNopWithData,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00004070,Xp85BP3+BBI#C#A,5f9fa6517a6c31caa31a46407bb5014425d19f37b62147636fc2a8614d52425c,13,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
libSceAmpr,pbnNnahE8vk,sceAmprMeasureCommandSizePopMarker,libSceAmpr.sprx,129a972cdb762d1b362ad136cdb802f5cac7d3a5f48ecb8b7e5d695c70af4047,defined_body,00004390,pbnNnahE8vk#C#A,e36623525b7c35b277173e56616b2d865cf6515aa2be1d12d6814ef725cecffb,2,true,add_gen5_prefer_lle_registration,Ghidra resolved an executable provider body; add an exact Gen5 PreferLle registration.,0,false,,
